country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
North Korea,4590000,4800000,5000000,5200000,5420000,5660000,5930000,6230000,6670000,7230000,7810000,8100000,8400000,8690000,8970000,9230000,9390000,9540000,9670000,9800000,9940000,10100000,10300000,10500000,10700000,10900000,11100000,11300000,11400000,11600000,11800000,12100000,12300000,12500000,12700000,12900000,13100000,13200000,13400000,13500000,13600000,13800000,13900000,14000000,14200000,14300000,14400000,14500000,14600000,14700000,14800000,15000000,15100000,15200000,15300000,15500000,15600000,15700000
Norway,1790000,1840000,1920000,1990000,2070000,2140000,2220000,2300000,2380000,2460000,2530000,2580000,2620000,2660000,2700000,2730000,2760000,2800000,2830000,2850000,2880000,2900000,2920000,2930000,2950000,2960000,2980000,3000000,3020000,3040000,3050000,3080000,3110000,3150000,3190000,3220000,3240000,3280000,3320000,3370000,3410000,3450000,3480000,3520000,3550000,3590000,3630000,3680000,3740000,3810000,3870000,3940000,4010000,4080000,4150000,4210000,4270000,4320000
Oman,90500,98700,108000,117000,128000,140000,152000,166000,181000,197000,215000,234000,256000,280000,307000,337000,371000,410000,452000,498000,549000,604000,663000,725000,790000,855000,920000,985000,1050000,1120000,1200000,1280000,1380000,1470000,1540000,1580000,1600000,1610000,1610000,1610000,1620000,1640000,1670000,1710000,1760000,1820000,1880000,1960000,2040000,2150000,2290000,2470000,2690000,2930000,3170000,3420000,3650000,3870000
Pakistan,9930000,10300000,10700000,11100000,11500000,12000000,12400000,12900000,13400000,13900000,14400000,15000000,15600000,16200000,16900000,17600000,18400000,19200000,20000000,20900000,21900000,22900000,23900000,24900000,26000000,27100000,28200000,29300000,30500000,31700000,32900000,34100000,35300000,36600000,37800000,39100000,40400000,41800000,43100000,44400000,45700000,47000000,48300000,49600000,50900000,52300000,53700000,55100000,56600000,58100000,59700000,61300000,63000000,64700000,66500000,68200000,70000000,71800000
Palau,5480,5650,5830,5990,6140,6280,6410,6520,6630,6730,6860,6990,7140,7300,7420,7510,7550,7540,7530,7550,7630,7850,8160,8510,8880,9230,9540,9760,9980,10200,10500,10800,11200,11600,11900,12300,12600,12900,13100,13300,13500,13600,13700,13700,13900,14200,14400,14600,14800,15100,15300,15600,15800,16100,16400,16600,16900,17200
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340000,1410000,1490000,1570000,1650000,1740000,1830000,1930000,1990000,2040000,2100000,2160000,2230000,2290000,2360000,2430000,2500000,2570000,2650000,2740000,2830000,2920000,3020000,3120000,3230000,3330000,3440000,3560000
Panama,467000,488000,511000,534000,559000,584000,610000,637000,665000,695000,724000,749000,775000,801000,828000,856000,884000,912000,940000,969000,998000,1030000,1060000,1090000,1120000,1160000,1190000,1220000,1260000,1290000,1330000,1380000,1430000,1480000,1540000,1590000,1650000,1710000,1770000,1830000,1880000,1930000,1980000,2020000,2070000,2120000,2170000,2220000,2270000,2320000,2370000,2430000,2480000,2540000,2590000,2650000,2700000,2760000
Papua New Guinea,74900,82600,91100,100000,111000,122000,135000,157000,183000,213000,248000,287000,301000,314000,328000,343000,359000,376000,393000,412000,431000,450000,469000,489000,510000,531000,553000,575000,598000,622000,647000,655000,664000,672000,680000,689000,698000,707000,717000,726000,736000,754000,772000,790000,809000,828000,847000,866000,886000,906000,925000,945000,965000,985000,1010000,1030000,1060000,1080000
Paraguay,677000,697000,717000,739000,763000,787000,812000,837000,864000,890000,917000,944000,971000,1010000,1050000,1090000,1130000,1180000,1220000,1270000,1330000,1380000,1440000,1510000,1580000,1650000,1730000,1810000,1890000,1970000,2050000,2140000,2220000,2310000,2390000,2480000,2570000,2660000,2750000,2840000,2930000,3030000,3120000,3200000,3270000,3340000,3410000,3480000,3540000,3610000,3680000,3750000,3820000,3890000,3960000,4030000,4100000,4180000
Peru,4710000,4910000,5170000,5440000,5730000,6020000,6330000,6640000,6970000,7310000,7660000,8020000,8380000,8700000,9020000,9360000,9710000,10100000,10400000,10800000,11200000,11600000,12000000,12300000,12700000,13100000,13500000,13800000,14200000,14600000,15000000,15400000,15800000,16200000,16700000,17100000,17400000,17800000,18200000,18600000,18900000,19300000,19600000,20000000,20400000,20700000,21100000,21400000,21800000,22100000,22500000,22800000,23200000,23500000,23900000,24300000,24600000,25000000
Philippines,7960000,8300000,8650000,9020000,9390000,9770000,10200000,10500000,11000000,11400000,11800000,12300000,12900000,13500000,14100000,14700000,15300000,15800000,16400000,17100000,17800000,18700000,19700000,20700000,21800000,22900000,24100000,25300000,26600000,27900000,29100000,29800000,30500000,31100000,31800000,32500000,33200000,33900000,34600000,35300000,36000000,36700000,37400000,38100000,38800000,39400000,40100000,40700000,41300000,41800000,42500000,43400000,44300000,45200000,46100000,47100000,48000000,49000000
Poland,14200000,14500000,14800000,15100000,15500000,15800000,16000000,16300000,16600000,16800000,17000000,17300000,17600000,18000000,18400000,18800000,19200000,19600000,20000000,20300000,20700000,21000000,21300000,21700000,22000000,22300000,22600000,22900000,23100000,23200000,23400000,23500000,23500000,23600000,23700000,23700000,23800000,23800000,23800000,23800000,23600000,23600000,23600000,23600000,23500000,23500000,23400000,23300000,23300000,23300000,23200000,23100000,23100000,23000000,23000000,22900000,22800000,22800000
Portugal,3100000,3160000,3210000,3260000,3300000,3320000,3330000,3340000,3360000,3360000,3370000,3390000,3420000,3450000,3540000,3710000,3850000,3930000,4010000,4090000,4180000,4260000,4340000,4410000,4480000,4540000,4600000,4650000,4700000,4740000,4780000,4830000,4890000,4960000,5040000,5120000,5210000,5300000,5390000,5490000,5600000,5700000,5800000,5890000,5970000,6040000,6120000,6190000,6270000,6340000,6400000,6460000,6490000,6520000,6550000,6580000,6620000,6660000
Qatar,40400,44100,48400,53400,58600,64100,69700,75600,81900,88900,96800,106000,116000,126000,137000,146000,155000,162000,171000,183000,200000,222000,249000,278000,307000,334000,360000,385000,407000,426000,442000,455000,465000,472000,480000,488000,498000,511000,528000,547000,570000,595000,624000,667000,737000,842000,987000,1160000,1360000,1560000,1750000,1920000,2080000,2220000,2350000,2460000,2540000,2610000
Romania,6300000,6470000,6650000,6820000,7000000,7170000,7370000,7590000,7790000,7970000,8160000,8350000,8540000,8710000,8900000,9120000,9340000,9560000,9800000,10000000,10200000,10500000,10700000,10900000,11100000,11300000,11500000,11700000,11900000,12200000,12300000,12400000,12400000,12300000,12300000,12200000,12100000,12100000,12000000,11900000,11900000,11700000,11500000,11400000,11400000,11300000,11300000,11200000,11000000,10900000,10900000,10900000,10800000,10800000,10700000,10700000,10600000,10600000
Russia,64400000,66200000,68100000,69900000,71800000,73700000,75300000,76800000,78400000,79900000,81500000,83000000,84500000,86100000,87600000,89100000,90800000,92500000,94200000,95700000,97000000,98200000,99500000,101000000,102000000,103000000,105000000,106000000,107000000,108000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,108000000,108000000,108000000,107000000,107000000,106000000,106000000,105000000,105000000,105000000,105000000,105000000,105000000,105000000,106000000,106000000,106000000,107000000,107000000,107000000
Rwanda,76300,79500,82700,85800,89300,93200,97600,103000,108000,114000,120000,129000,139000,150000,162000,174000,188000,203000,220000,231000,243000,254000,266000,279000,293000,309000,329000,350000,370000,385000,392000,387000,421000,461000,510000,583000,696000,813000,935000,1070000,1200000,1320000,1430000,1470000,1490000,1520000,1560000,1600000,1640000,1690000,1740000,1780000,1830000,1880000,1920000,1980000,2030000,2090000
Samoa,20600,21300,22100,22900,23700,24500,25300,26300,27300,28200,29100,30000,30600,31000,31400,31800,32100,32400,32500,32700,32900,33200,33400,33600,33800,33900,34000,34100,34200,34300,34500,34800,35200,35700,36200,36600,37000,37400,37700,38000,38400,38700,38700,38500,38400,38200,38000,37800,37700,37500,37400,37300,37100,37000,36800,36600,36500,36200
San Marino,7530,7900,8280,8680,9080,9490,9900,10300,10700,11100,11400,12000,12600,13100,13600,14100,14700,15300,16000,16700,17400,18000,18500,19100,19600,20000,20500,21000,21200,21500,21700,22000,22400,22800,23300,23700,24100,24500,24900,25200,25600,26000,26400,26800,27200,27600,28100,28500,28900,29300,29800,30200,30700,31100,31500,31900,32200,32400
Sao Tome and Principe,10300,10800,11600,12300,13200,14100,15400,16800,18400,20100,21900,23000,23700,24400,25200,26100,27200,28300,29500,30700,31800,32800,34400,36000,37700,39400,41300,43200,45300,47500,49700,52100,54400,56700,59100,61500,63900,66300,68700,71300,74000,77000,80500,84200,88100,92100,96200,100000,105000,109000,114000,118000,123000,128000,132000,137000,142000,147000
Saudi Arabia,1280000,1370000,1460000,1580000,1720000,1880000,2040000,2220000,2410000,2610000,2840000,3090000,3370000,3670000,4000000,4330000,4680000,5060000,5460000,5910000,6420000,6970000,7590000,8240000,8910000,9580000,10200000,10800000,11400000,12000000,12500000,13000000,13500000,14000000,14400000,14700000,15100000,15400000,15800000,16200000,16600000,17100000,17600000,18200000,18800000,19400000,20000000,20600000,21200000,21800000,22500000,23200000,24000000,24800000,25500000,26200000,26900000,27500000
Senegal,738000,779000,823000,869000,919000,970000,1030000,1080000,1140000,1210000,1280000,1350000,1420000,1500000,1580000,1660000,1740000,1800000,1860000,1930000,2000000,2080000,2160000,2250000,2340000,2430000,2530000,2640000,2740000,2840000,2940000,3040000,3150000,3250000,3360000,3460000,3570000,3670000,3770000,3880000,3990000,4100000,4220000,4360000,4530000,4690000,4870000,5050000,5240000,5440000,5650000,5880000,6110000,6360000,6610000,6870000,7130000,7410000
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3820000,3860000,3900000,3940000,3980000,3940000,3950000,3960000,3960000,3960000,3970000,3980000,3990000,4000000,4000000,4010000,4010000,4010000,4010000,4010000,4010000,3990000,3990000,3970000,3960000,3950000,3940000,3930000
Seychelles,11500,12300,13100,13900,14800,15700,16700,17700,18700,19800,20900,22100,23400,24600,25900,27400,28900,30400,30700,31000,31200,31600,31800,31700,31900,32200,32400,33700,33900,34100,34200,34700,34900,35700,36800,37400,38000,38600,39500,40400,40900,41100,42600,42300,42400,42800,44000,44500,45800,46200,47900,47000,47800,49100,50200,51800,52900,53900
Sierra Leone,399000,417000,436000,457000,480000,504000,529000,556000,584000,614000,645000,679000,715000,754000,794000,830000,862000,895000,930000,966000,1000000,1040000,1080000,1120000,1170000,1220000,1260000,1310000,1360000,1400000,1430000,1450000,1460000,1460000,1460000,1470000,1480000,1500000,1530000,1570000,1630000,1700000,1790000,1890000,1990000,2090000,2180000,2270000,2350000,2430000,2510000,2590000,2680000,2770000,2860000,2950000,3050000,3150000
Singapore,1650000,1700000,1750000,1800000,1840000,1890000,1930000,1980000,2010000,2040000,2070000,2110000,2150000,2190000,2230000,2260000,2290000,2330000,2350000,2380000,2410000,2530000,2650000,2680000,2730000,2740000,2730000,2770000,2850000,2930000,3050000,3140000,3230000,3310000,3420000,3520000,3670000,3800000,3930000,3960000,4030000,4140000,4180000,4110000,4170000,4270000,4400000,4590000,4840000,4990000,5080000,5180000,5310000,5400000,5470000,5540000,5610000,5610000
Slovak Republic,1360000,1420000,1470000,1520000,1570000,1620000,1670000,1720000,1770000,1820000,1860000,1910000,1980000,2050000,2120000,2190000,2270000,2340000,2420000,2500000,2570000,2620000,2670000,2710000,2750000,2800000,2840000,2880000,2920000,2960000,2990000,3010000,3010000,3020000,3030000,3030000,3030000,3040000,3040000,3040000,3030000,3020000,3010000,3000000,2990000,2990000,2980000,2970000,2960000,2960000,2950000,2940000,2940000,2930000,2930000,2920000,2920000,2920000
Slovenia,447000,464000,480000,498000,516000,536000,557000,579000,599000,618000,638000,660000,684000,709000,733000,760000,792000,822000,852000,883000,913000,933000,938000,947000,955000,963000,978000,993000,999000,1000000,1010000,1010000,1010000,1010000,1010000,1010000,1010000,1010000,1000000,1010000,1010000,1010000,1010000,1020000,1020000,1030000,1040000,1050000,1060000,1070000,1080000,1090000,1090000,1100000,1100000,1110000,1120000,1120000
Solomon Islands,6800,7330,7900,8530,9190,9920,10700,11500,12400,13400,14300,14900,15500,16200,16900,17700,18600,19900,21300,22800,24400,26100,27800,29700,31600,33700,35800,37600,39200,40900,42600,44500,46400,48400,50500,52700,54900,57300,59700,62200,65200,68700,72200,76000,79800,83800,87900,92200,96500,101000,106000,111000,116000,121000,126000,131000,137000,142000
Somalia,477000,502000,528000,556000,584000,613000,644000,679000,715000,749000,781000,807000,828000,856000,908000,989000,1100000,1260000,1420000,1580000,1700000,1780000,1830000,1860000,1880000,1910000,1950000,2010000,2080000,2140000,2190000,2240000,2270000,2310000,2360000,2420000,2510000,2620000,2740000,2870000,3000000,3120000,3250000,3420000,3590000,3780000,3980000,3800000,4090000,4410000,4740000,5090000,5300000,5530000,5770000,6010000,6270000,6540000
South Africa,8140000,8390000,8630000,8890000,9150000,9420000,9700000,9990000,10300000,10600000,10900000,11200000,11600000,11900000,12300000,12600000,13000000,13300000,13700000,14000000,14400000,14800000,15300000,15700000,16200000,16700000,17200000,17800000,18300000,18900000,19500000,20200000,20900000,21600000,22300000,22900000,23600000,24200000,24800000,25400000,26000000,26600000,27200000,27800000,28500000,29100000,29700000,30200000,30800000,31400000,32100000,32800000,33500000,34300000,35100000,35800000,36600000,37300000
South Korea,6930000,7350000,7810000,8290000,8780000,9290000,9820000,10500000,11400000,12200000,13100000,13900000,14600000,15400000,16200000,16900000,17800000,18700000,19700000,20600000,21600000,22600000,23600000,24600000,25600000,26500000,27500000,28500000,29600000,30600000,31700000,32500000,33200000,33900000,34600000,35300000,35800000,36300000,36600000,37000000,37400000,37900000,38300000,38600000,38900000,39200000,39500000,39700000,40100000,40400000,40600000,40900000,41100000,41200000,41500000,41600000,41800000,41900000
South Sudan,259000,263000,268000,273000,278000,284000,289000,295000,302000,308000,315000,322000,329000,337000,345000,353000,362000,371000,380000,390000,401000,413000,426000,450000,493000,537000,582000,630000,677000,723000,766000,803000,835000,858000,855000,867000,894000,937000,991000,1050000,1110000,1160000,1210000,1270000,1330000,1390000,1460000,1540000,1630000,1710000,1800000,1880000,1970000,2060000,2150000,2240000,2340000,2430000
Spain,17200000,17600000,18100000,18600000,19100000,19600000,20100000,20700000,21200000,21800000,22300000,22900000,23400000,23900000,24400000,24900000,25400000,25900000,26400000,26800000,27300000,27700000,27900000,28200000,28400000,28500000,28700000,28900000,29000000,29200000,29300000,29400000,29600000,29800000,30000000,30100000,30300000,30500000,30600000,30800000,30900000,31200000,31700000,32400000,33100000,33700000,34400000,35200000,35800000,36300000,36500000,36800000,36900000,36900000,36900000,37000000,37100000,37300000
Sri Lanka,1620000,1680000,1730000,1790000,1850000,1900000,1960000,2020000,2080000,2140000,2200000,2260000,2310000,2370000,2430000,2490000,2550000,2610000,2670000,2740000,2800000,2850000,2890000,2930000,2970000,3010000,3050000,3090000,3130000,3170000,3210000,3250000,3280000,3310000,3340000,3370000,3390000,3400000,3420000,3430000,3450000,3470000,3500000,3520000,3550000,3570000,3600000,3620000,3640000,3660000,3680000,3700000,3720000,3750000,3780000,3830000,3880000,3940000
St. Kitts and Nevis,14200,14500,14700,14900,15100,15200,15200,15300,15300,15300,15300,15300,15300,15400,15400,15500,15500,15500,15500,15500,15500,15400,15200,15100,15000,14800,14600,14500,14300,14200,14100,14100,14200,14300,14400,14500,14500,14600,14700,14800,14900,15000,15100,15300,15400,15600,15700,15800,15900,16000,16100,16200,16300,16500,16600,16700,16900,17000
St. Lucia,19300,19700,20200,20700,21300,21800,22400,23000,23700,24300,24900,25500,26000,26500,27100,27700,28300,29000,29800,30500,31300,32100,32800,33600,34400,35300,36300,37300,38400,39500,40600,41400,41700,41900,42100,42300,42600,42900,43100,43400,43600,43500,42100,40600,39200,37800,36500,35300,34100,32900,31800,32100,32300,32400,32600,32800,33000,33300
St. Vincent and the Grenadines,21000,21700,22300,23000,23600,24300,25000,25600,26300,27000,27800,28500,29300,30100,30900,31800,32600,33500,34300,35200,36100,36900,37800,38600,39500,40300,41200,42100,42900,43700,44500,45200,45700,46100,46500,46900,47300,47600,48000,48400,48800,49200,49700,50100,50600,51100,51600,52100,52600,53100,53500,54000,54400,54800,55300,55800,56300,56900
Sudan,811000,873000,939000,1010000,1090000,1170000,1260000,1360000,1460000,1580000,1700000,1830000,1970000,2100000,2200000,2300000,2410000,2520000,2640000,2770000,2900000,3030000,3170000,3370000,3650000,3950000,4260000,4600000,4950000,5340000,5760000,6230000,6750000,7240000,7510000,7770000,8000000,8220000,8420000,8630000,8860000,9100000,9350000,9610000,9870000,10100000,10400000,10600000,10800000,11100000,11400000,11700000,12000000,12300000,12700000,13100000,13500000,13900000
Suriname,137000,141000,145000,149000,153000,156000,160000,164000,167000,169000,171000,170000,174000,181000,188000,195000,203000,211000,219000,227000,236000,236000,237000,238000,240000,243000,247000,251000,257000,262000,268000,273000,278000,284000,288000,293000,298000,302000,306000,310000,314000,318000,322000,326000,329000,333000,336000,339000,342000,346000,349000,352000,356000,359000,362000,365000,369000,372000
Swaziland,13700,15500,17600,19900,22500,25400,28700,31800,35200,39000,43300,48000,53200,59000,65400,72400,80200,85100,89700,94500,99400,105000,110000,115000,122000,129000,137000,146000,155000,165000,174000,182000,190000,198000,206000,214000,223000,232000,235000,239000,241000,242000,242000,242000,243000,244000,246000,249000,255000,263000,270000,278000,285000,292000,300000,307000,315000,323000
Sweden,5430000,5510000,5620000,5720000,5830000,5960000,6080000,6190000,6290000,6400000,6520000,6610000,6650000,6690000,6730000,6780000,6810000,6840000,6860000,6890000,6900000,6910000,6920000,6920000,6930000,6940000,6960000,6980000,7010000,7060000,7110000,7170000,7230000,7280000,7350000,7400000,7420000,7430000,7430000,7440000,7450000,7480000,7510000,7540000,7580000,7610000,7670000,7740000,7810000,7890000,7980000,8060000,8150000,8250000,8360000,8480000,8620000,8770000
Switzerland,3780000,3870000,3990000,4090000,4180000,4240000,4300000,4370000,4450000,4510000,4560000,4600000,4640000,4670000,4700000,4700000,4680000,4670000,4670000,4680000,4710000,4730000,4760000,4770000,4790000,4800000,4820000,4850000,4880000,4920000,4960000,5020000,5080000,5120000,5150000,5190000,5200000,5210000,5230000,5250000,5270000,5300000,5350000,5390000,5430000,5460000,5500000,5550000,5630000,5700000,5760000,5830000,5890000,5960000,6030000,6110000,6170000,6240000
Syria,1680000,1770000,1850000,1950000,2050000,2150000,2260000,2370000,2490000,2620000,2750000,2870000,3000000,3130000,3260000,3400000,3540000,3690000,3840000,4000000,4170000,4350000,4530000,4720000,4910000,5100000,5290000,5490000,5690000,5890000,6090000,6300000,6510000,6720000,6940000,7190000,7450000,7720000,7990000,8260000,8520000,8770000,9000000,9240000,9510000,9840000,10200000,10700000,11200000,11500000,11700000,11400000,10900000,10400000,9890000,9770000,9740000,9770000
Tajikistan,692000,725000,759000,796000,835000,875000,915000,957000,1000000,1040000,1080000,1110000,1130000,1160000,1180000,1210000,1230000,1260000,1280000,1310000,1340000,1370000,1400000,1440000,1470000,1510000,1550000,1590000,1630000,1660000,1670000,1680000,1680000,1680000,1670000,1660000,1660000,1650000,1640000,1640000,1650000,1680000,1710000,1740000,1780000,1820000,1860000,1900000,1940000,1980000,2030000,2070000,2120000,2170000,2230000,2290000,2350000,2410000
Tanzania,529000,560000,593000,628000,665000,705000,746000,791000,870000,964000,1070000,1180000,1310000,1450000,1610000,1780000,1970000,2170000,2400000,2560000,2720000,2890000,3070000,3250000,3450000,3660000,3880000,4110000,4360000,4580000,4810000,5050000,5320000,5590000,5870000,6150000,6440000,6720000,7010000,7310000,7620000,7960000,8320000,8770000,9270000,9790000,10400000,11000000,11600000,12300000,13000000,13700000,14500000,15300000,16100000,17000000,18000000,18900000
Thailand,5390000,5580000,5780000,5990000,6210000,6430000,6670000,6910000,7150000,7400000,7700000,8140000,8600000,9070000,9560000,10100000,10600000,11100000,11600000,12200000,12700000,13100000,13500000,13800000,14200000,14600000,15000000,15400000,15900000,16300000,16600000,16900000,17200000,17500000,17700000,18000000,18300000,18600000,19000000,19300000,19800000,20700000,21600000,22600000,23500000,24500000,25500000,26400000,27400000,28500000,29500000,30200000,30800000,31500000,32100000,32700000,33400000,34000000
Timor-Leste,50400,52100,54500,56900,59500,62200,65100,68000,71000,74400,78000,82000,86500,90900,94600,97000,98000,97500,96400,95900,96800,99800,105000,111000,117000,124000,130000,136000,142000,149000,157000,165000,173000,182000,190000,196000,200000,202000,204000,206000,211000,220000,231000,244000,256000,267000,277000,284000,292000,299000,308000,318000,329000,341000,353000,366000,379000,392000
Togo,160000,175000,191000,209000,230000,255000,286000,322000,364000,409000,450000,472000,493000,513000,532000,553000,573000,595000,617000,642000,671000,704000,740000,780000,822000,864000,907000,951000,995000,1040000,1080000,1130000,1170000,1210000,1260000,1310000,1370000,1430000,1500000,1570000,1640000,1710000,1780000,1850000,1920000,2000000,2080000,2170000,2250000,2350000,2440000,2540000,2640000,2750000,2860000,2970000,3090000,3210000
Tonga,10800,11400,12100,12900,13700,14500,15300,15900,16300,16700,17000,17300,17500,17600,17800,18000,18200,18500,18900,19300,19700,20000,20200,20500,20700,20900,21200,21300,21400,21500,21600,21700,21700,21800,21900,22000,22100,22200,22300,22400,22600,22700,22900,23000,23200,23400,23600,23800,24000,24200,24400,24500,24600,24600,24700,24800,24900,25000
Trinidad and Tobago,290000,303000,316000,328000,340000,351000,362000,373000,384000,395000,407000,420000,435000,450000,466000,482000,499000,515000,532000,550000,567000,578000,590000,602000,613000,623000,632000,640000,648000,655000,661000,668000,674000,680000,686000,691000,695000,698000,702000,705000,709000,709000,710000,711000,712000,713000,714000,715000,716000,716000,718000,719000,720000,722000,723000,725000,727000,728000
Tunisia,1570000,1610000,1650000,1700000,1750000,1810000,1870000,1940000,2030000,2110000,2200000,2290000,2390000,2480000,2590000,2690000,2790000,2890000,2990000,3100000,3220000,3350000,3490000,3630000,3780000,3940000,4110000,4270000,4430000,4600000,4770000,4950000,5120000,5300000,5470000,5600000,5730000,5840000,5950000,6050000,6150000,6250000,6330000,6420000,6510000,6590000,6680000,6780000,6880000,6980000,7090000,7200000,7320000,7430000,7550000,7670000,7790000,7920000
Turkey,8660000,9030000,9400000,9790000,10200000,10600000,11100000,11600000,12200000,12700000,13300000,13900000,14500000,15100000,15700000,16300000,16900000,17500000,18000000,18600000,19300000,20300000,21600000,23000000,24400000,25800000,27000000,28200000,29500000,30700000,31900000,32900000,33700000,34600000,35500000,36300000,37200000,38100000,39100000,40000000,40900000,41900000,43000000,44000000,45000000,46100000,47100000,48100000,49100000,50100000,51200000,52400000,53700000,55000000,56300000,57600000,58900000,60300000
Turkmenistan,744000,772000,801000,831000,861000,892000,923000,954000,986000,1020000,1050000,1080000,1110000,1140000,1170000,1200000,1230000,1260000,1300000,1330000,1350000,1380000,1410000,1430000,1460000,1490000,1520000,1550000,1580000,1620000,1660000,1700000,1750000,1800000,1840000,1880000,1930000,1970000,2010000,2040000,2070000,2110000,2140000,2170000,2200000,2240000,2280000,2320000,2360000,2410000,2470000,2530000,2590000,2660000,2730000,2800000,2870000,2950000
Tuvalu,970,1030,1090,1150,1220,1280,1350,1410,1480,1540,1610,1680,1750,1830,1900,1980,2060,2140,2220,2310,2400,2500,2610,2730,2840,2960,3100,3240,3380,3520,3660,3800,3890,3950,4000,4060,4110,4160,4210,4260,4340,4420,4510,4660,4820,4980,5140,5300,5460,5620,5770,5930,6090,6260,6410,6570,6730,6890
Uganda,300000,323000,349000,378000,408000,442000,477000,516000,557000,601000,629000,655000,680000,706000,733000,762000,793000,826000,860000,896000,945000,1010000,1090000,1160000,1250000,1340000,1440000,1550000,1670000,1800000,1930000,2070000,2200000,2340000,2490000,2640000,2800000,2970000,3150000,3350000,3550000,3780000,4020000,4280000,4550000,4840000,5150000,5480000,5820000,6190000,6570000,6980000,7420000,7870000,8350000,8860000,9390000,9940000
Ukraine,20000000,20500000,21100000,21700000,22300000,22900000,23500000,24100000,24700000,25300000,25800000,26400000,26900000,27400000,28000000,28500000,29000000,29500000,29900000,30400000,30800000,31300000,31700000,32100000,32500000,32900000,33300000,33800000,34200000,34500000,34600000,34700000,34900000,34900000,34700000,34500000,34200000,33900000,33600000,33300000,33000000,32700000,32400000,32200000,32100000,31900000,31800000,31700000,31600000,31500000,31500000,31400000,31400000,31300000,31200000,31200000,31100000,31000000
United Arab Emirates,68100,75200,84600,95500,107000,117000,126000,135000,146000,163000,188000,222000,266000,317000,376000,442000,517000,599000,684000,766000,841000,904000,957000,1010000,1060000,1110000,1170000,1240000,1310000,1390000,1470000,1550000,1640000,1740000,1830000,1920000,2020000,2130000,2250000,2380000,2530000,2680000,2840000,3050000,3350000,3770000,4330000,5020000,5750000,6420000,6950000,7320000,7540000,7660000,7740000,7840000,7970000,8110000
United Kingdom,41100000,41400000,41700000,41900000,42100000,42300000,42500000,42600000,42700000,42800000,42900000,43100000,43300000,43500000,43600000,43700000,43800000,43800000,43900000,44100000,44200000,44300000,44200000,44200000,44300000,44300000,44400000,44500000,44500000,44600000,44700000,44900000,45000000,45200000,45300000,45500000,45600000,45800000,45900000,46100000,46300000,46600000,46900000,47300000,47800000,48300000,48800000,49400000,49900000,50500000,51000000,51600000,52100000,52700000,53200000,53800000,54400000,54900000
United States,126000000,129000000,132000000,135000000,137000000,140000000,142000000,144000000,146000000,149000000,151000000,153000000,155000000,156000000,157000000,159000000,161000000,162000000,164000000,166000000,168000000,170000000,172000000,173000000,175000000,177000000,179000000,181000000,183000000,185000000,188000000,192000000,195000000,199000000,202000000,206000000,209000000,213000000,216000000,220000000,223000000,226000000,228000000,231000000,234000000,236000000,239000000,242000000,245000000,247000000,250000000,252000000,255000000,257000000,260000000,262000000,265000000,267000000
Uruguay,2040000,2070000,2100000,2130000,2160000,2190000,2220000,2250000,2270000,2300000,2310000,2330000,2340000,2340000,2350000,2360000,2380000,2410000,2430000,2460000,2490000,2520000,2540000,2570000,2600000,2630000,2650000,2680000,2710000,2740000,2770000,2800000,2830000,2860000,2890000,2920000,2950000,2980000,3010000,3040000,3060000,3070000,3080000,3090000,3090000,3100000,3120000,3130000,3150000,3170000,3190000,3200000,3220000,3230000,3250000,3260000,3280000,3290000
Uzbekistan,2900000,3030000,3150000,3290000,3430000,3580000,3740000,3910000,4090000,4260000,4450000,4640000,4830000,5020000,5220000,5430000,5650000,5880000,6120000,6330000,6500000,6670000,6840000,7020000,7190000,7370000,7560000,7740000,7930000,8170000,8480000,8770000,9070000,9390000,9680000,9960000,10300000,10600000,10900000,11100000,11400000,11600000,11900000,12200000,12400000,12700000,13000000,13300000,13600000,14000000,14600000,15000000,15200000,15400000,15600000,15900000,16100000,16400000
Vanuatu,6630,6950,7300,7660,8030,8420,8800,9200,9620,10100,10500,11000,11600,12200,12800,13400,14000,14700,15400,16200,17000,17900,18800,19800,20700,21700,22800,23900,25100,26300,27400,28600,29900,31300,32600,33900,35200,36300,37500,38800,40100,41600,43100,44800,46600,48400,50200,52100,54000,56000,57800,59400,61000,62700,64400,66000,67800,69500
Venezuela,5020000,5320000,5620000,5930000,6260000,6580000,6920000,7260000,7610000,7970000,8330000,8690000,9040000,9390000,9750000,10100000,10500000,10900000,11300000,11700000,12200000,12600000,13000000,13400000,13900000,14300000,14800000,15300000,15800000,16300000,16700000,17200000,17700000,18100000,18600000,19100000,19600000,20000000,20500000,21000000,21400000,21900000,22300000,22700000,23100000,23600000,24000000,24400000,24800000,25200000,25600000,26000000,26300000,26700000,27100000,27500000,27800000,28200000
